,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__n_neighbors,param_base_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
34,0.14888286590576172,0.002021739008034825,0.1751565933227539,0.00040469211099506807,17,1,0.1,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 17), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9375311489130436,-2.148199640070524,-2.1062190710543236,-2.063983286679297,0.09104284486977424,29
35,5.647616624832153,0.568295879082232,8.303589423497518,0.22299087663804823,13,1,0.5093229232714194,0.7167340324242197,1000,"OrderedDict([('base_estimator__n_neighbors', 13), ('base_estimator__p', 1), ('max_features', 0.5093229232714194), ('max_samples', 0.7167340324242197), ('n_estimators', 1000)])",-1.919473495390677,-2.121205474601341,-2.1059632867505256,-2.0488807522475145,0.09171608244297016,23
36,0.34627548853556317,0.03783810893846257,0.438920259475708,0.033047373848288215,1,2,0.1,0.1,1000,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 2), ('max_features', 0.1), ('max_samples', 0.1), ('n_estimators', 1000)])",-1.9719617382445653,-2.2100846486703,-2.1528733930437154,-2.11163992665286,0.10149147478272887,43
37,13.199579954147339,0.9191046888182185,26.615762790044148,1.5656956982410444,16,1,1.0,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 16), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.927642997502887,-2.1144151938514986,-2.1066828751442963,-2.0495803554995606,0.08628049854806567,24
38,1.37418794631958,0.03058206570424096,2.957038323084513,0.07295399634437942,5,1,1.0,0.1,1000,"OrderedDict([('base_estimator__n_neighbors', 5), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.1), ('n_estimators', 1000)])",-1.9513597135108696,-2.2201199501896456,-2.1543305642770494,-2.108603409325855,0.11438602982840122,42
39,0.5825209617614746,0.5753673493013792,0.26752225557963055,0.03653261448078223,7,1,0.3223496335172356,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 7), ('base_estimator__p', 1), ('max_features', 0.3223496335172356), ('max_samples', 1.0), ('n_estimators', 10)])",-1.8884144510481367,-2.1011263889061893,-2.0825043475409832,-2.0240150624984365,0.09618502820232552,11
40,0.10663008689880371,0.04665864438648568,0.13529094060262045,0.0005037652119908535,1,1,0.1,0.1,10,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.1), ('n_estimators', 10)])",-2.0696132426630434,-2.2445707340599452,-2.1694394806010933,-2.1612078191080273,0.07166287340586043,46
41,1.1723287105560303,0.4903247849171804,1.495142141977946,0.022104202869737005,5,1,0.1,1.0,511,"OrderedDict([('base_estimator__n_neighbors', 5), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 511)])",-1.8976141700842337,-2.0852561373552954,-2.0487198541272336,-2.0105300538555877,0.08122488372385112,6
42,0.6283776760101318,0.5267089755916116,0.4734741846720378,0.04027518703483872,20,1,1.0,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 20), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9396856028668477,-2.149083740694823,-2.1290287505874317,-2.0725993647163676,0.09434017074323828,34
43,1.4939587910970051,0.5670885013453183,2.047347068786621,0.03023923712099666,1,1,0.1,0.7339179779130347,1000,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.7339179779130347), ('n_estimators', 1000)])",-1.8951523909021737,-2.098969076880109,-2.026657658573771,-2.006926375452018,0.08436943767731747,3
44,1.5582151412963867,0.04254129406419196,2.747593402862549,0.09150953590054814,2,1,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 2), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9030678274823372,-2.09294030726158,-2.029901980780055,-2.0086367051746574,0.07896011062264247,4
45,0.5125261942545573,0.02549589905827407,0.4719175497690837,0.005717979444316542,14,2,0.23373639610766261,0.9804101185936118,127,"OrderedDict([('base_estimator__n_neighbors', 14), ('base_estimator__p', 2), ('max_features', 0.23373639610766261), ('max_samples', 0.9804101185936118), ('n_estimators', 127)])",-1.9721454134362617,-2.1812693513499846,-2.1646976379766056,-2.1060374675876172,0.09491739231101436,41
46,0.845499595006307,0.10803868441652019,1.6162048975626628,0.03036947878030046,6,1,0.1,1.0,540,"OrderedDict([('base_estimator__n_neighbors', 6), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 540)])",-1.8981201580934648,-2.0878038119361184,-2.056085987399649,-2.0140033191430775,0.0829585653985145,8
47,1.516009012858073,0.07117295321925227,2.9310837586720786,0.09738150166008852,20,1,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 20), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.927292955092663,-2.1598623204717984,-2.1138533272579236,-2.0670028676074614,0.10055960622207481,30
48,1.0317312876383464,0.061857135285884476,1.8293733596801758,0.028321312466543628,11,1,0.1,0.6038927320448003,1000,"OrderedDict([('base_estimator__n_neighbors', 11), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.6038927320448003), ('n_estimators', 1000)])",-1.925510957694417,-2.1548189718439437,-2.108551805614009,-2.062960578384123,0.09900997033479407,27
49,0.939377228418986,0.0440837907044658,1.8246106306711833,0.041495266721398465,1,1,0.4169341414152322,0.1505302568242423,996,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.4169341414152322), ('max_samples', 0.1505302568242423), ('n_estimators', 996)])",-1.9174609988841234,-2.1075242828042415,-2.075158971360853,-2.033381417683073,0.08302624471454687,14
